0,0.587785,0.951057,0.951057,0.587785,1.22465e-16,-0.587785,-0.951057,-0.951057,-0.587785,-2.44929e-16;0,0.475528,0.769421,0.769421,0.475528,9.9076e-17,-0.475528,-0.769421,-0.769421,-0.475528,-1.98152e-16;0,0.181636,0.293893,0.293893,0.181636,3.78437e-17,-0.181636,-0.293893,-0.293893,-0.181636,-7.56873e-17;-0,-0.181636,-0.293893,-0.293893,-0.181636,-3.78437e-17,0.181636,0.293893,0.293893,0.181636,7.56873e-17;-0,-0.475528,-0.769421,-0.769421,-0.475528,-9.9076e-17,0.475528,0.769421,0.769421,0.475528,1.98152e-16;-0,-0.587785,-0.951057,-0.951057,-0.587785,-1.22465e-16,0.587785,0.951057,0.951057,0.587785,2.44929e-16;-0,-0.475528,-0.769421,-0.769421,-0.475528,-9.9076e-17,0.475528,0.769421,0.769421,0.475528,1.98152e-16;-0,-0.181636,-0.293893,-0.293893,-0.181636,-3.78437e-17,0.181636,0.293893,0.293893,0.181636,7.56873e-17;0,0.181636,0.293893,0.293893,0.181636,3.78437e-17,-0.181636,-0.293893,-0.293893,-0.181636,-7.56873e-17;0,0.475528,0.769421,0.769421,0.475528,9.9076e-17,-0.475528,-0.769421,-0.769421,-0.475528,-1.98152e-16;0,0.587785,0.951057,0.951057,0.587785,1.22465e-16,-0.587785,-0.951057,-0.951057,-0.587785,-2.44929e-16
-0.0587785,0.535742,0.925628,0.961955,0.630848,0.0587785,-0.535742,-0.925628,-0.961955,-0.630848,-0.0587785;-0.0475528,0.453732,0.781707,0.811096,0.530674,0.0475528,-0.453732,-0.781707,-0.811096,-0.530674,-0.0475528;-0.0181636,0.198412,0.3392,0.350426,0.227801,0.0181636,-0.198412,-0.3392,-0.350426,-0.227801,-0.0181636;0.0181636,-0.132695,-0.232869,-0.244095,-0.162084,-0.0181636,0.132695,0.232869,0.244095,0.162084,0.0181636;0.0475528,-0.413117,-0.71599,-0.745379,-0.490059,-0.0475528,0.413117,0.71599,0.745379,0.490059,0.0475528;0.0587785,-0.535742,-0.925628,-0.961955,-0.630848,-0.0587785,0.535742,0.925628,0.961955,0.630848,0.0587785;0.0475528,-0.453732,-0.781707,-0.811096,-0.530674,-0.0475528,0.453732,0.781707,0.811096,0.530674,0.0475528;0.0181636,-0.198412,-0.3392,-0.350426,-0.227801,-0.0181636,0.198412,0.3392,0.350426,0.227801,0.0181636;-0.0181636,0.132695,0.232869,0.244095,0.162084,0.0181636,-0.132695,-0.232869,-0.244095,-0.162084,-0.0181636;-0.0475528,0.413117,0.71599,0.745379,0.490059,0.0475528,-0.413117,-0.71599,-0.745379,-0.490059,-0.0475528;-0.0587785,0.535742,0.925628,0.961955,0.630848,0.0587785,-0.535742,-0.925628,-0.961955,-0.630848,-0.0587785
-0.116659,0.480398,0.89396,0.966059,0.669157,0.116659,-0.480398,-0.89396,-0.966059,-0.669157,-0.116659;-0.0984406,0.425669,0.787188,0.848028,0.58495,0.0984406,-0.425669,-0.787188,-0.848028,-0.58495,-0.0984406;-0.0426213,0.208349,0.379737,0.406078,0.277312,0.0426213,-0.208349,-0.379737,-0.406078,-0.277312,-0.0426213;0.029478,-0.0885535,-0.172761,-0.190979,-0.13625,-0.029478,0.0885535,0.172761,0.190979,0.13625,0.029478;0.0903176,-0.351632,-0.659269,-0.715089,-0.497769,-0.0903176,0.351632,0.659269,0.715089,0.497769,0.0903176;0.116659,-0.480398,-0.89396,-0.966059,-0.669157,-0.116659,0.480398,0.89396,0.966059,0.669157,0.116659;0.0984406,-0.425669,-0.787188,-0.848028,-0.58495,-0.0984406,0.425669,0.787188,0.848028,0.58495,0.0984406;0.0426213,-0.208349,-0.379737,-0.406078,-0.277312,-0.0426213,0.208349,0.379737,0.406078,0.277312,0.0426213;-0.029478,0.0885535,0.172761,0.190979,0.13625,0.029478,-0.0885535,-0.172761,-0.190979,-0.13625,-0.029478;-0.0903176,0.351632,0.659269,0.715089,0.497769,0.0903176,-0.351632,-0.659269,-0.715089,-0.497769,-0.0903176;-0.116659,0.480398,0.89396,0.966059,0.669157,0.116659,-0.480398,-0.89396,-0.966059,-0.669157,-0.116659
-0.172839,0.422496,0.856452,0.963272,0.702156,0.172839,-0.422496,-0.856452,-0.963272,-0.702156,-0.172839;-0.151921,0.391739,0.785768,0.87966,0.637553,0.151921,-0.391739,-0.785768,-0.87966,-0.637553,-0.151921;-0.0729746,0.211351,0.414947,0.460048,0.329426,0.0729746,-0.211351,-0.414947,-0.460048,-0.329426,-0.0729746;0.033846,-0.049766,-0.114369,-0.135287,-0.10453,-0.033846,0.049766,0.114369,0.135287,0.10453,0.033846;0.127739,-0.291874,-0.6,-0.678947,-0.498559,-0.127739,0.291874,0.6,0.678947,0.498559,0.127739;0.172839,-0.422496,-0.856452,-0.963272,-0.702156,-0.172839,0.422496,0.856452,0.963272,0.702156,0.172839;0.151921,-0.391739,-0.785768,-0.87966,-0.637553,-0.151921,0.391739,0.785768,0.87966,0.637553,0.151921;0.0729746,-0.211351,-0.414947,-0.460048,-0.329426,-0.0729746,0.211351,0.414947,0.460048,0.329426,0.0729746;-0.033846,0.049766,0.114369,0.135287,0.10453,0.033846,-0.049766,-0.114369,-0.135287,-0.10453,-0.033846;-0.127739,0.291874,0.6,0.678947,0.498559,0.127739,-0.291874,-0.6,-0.678947,-0.498559,-0.127739;-0.172839,0.422496,0.856452,0.963272,0.702156,0.172839,-0.422496,-0.856452,-0.963272,-0.702156,-0.172839
-0.226542,0.36281,0.813582,0.953593,0.729364,0.226542,-0.36281,-0.813582,-0.953593,-0.729364,-0.226542;-0.207219,0.352419,0.777444,0.905512,0.687706,0.207219,-0.352419,-0.777444,-0.905512,-0.687706,-0.207219;-0.108744,0.207415,0.444349,0.511557,0.383367,0.108744,-0.207415,-0.444349,-0.511557,-0.383367,-0.108744;0.0312666,-0.0168139,-0.058472,-0.0777958,-0.0674043,-0.0312666,0.0168139,0.058472,0.0777958,0.0674043,0.0312666;0.159335,-0.234621,-0.538959,-0.637433,-0.49243,-0.159335,0.234621,0.538959,0.637433,0.49243,0.159335;0.226542,-0.36281,-0.813582,-0.953593,-0.729364,-0.226542,0.36281,0.813582,0.953593,0.729364,0.226542;0.207219,-0.352419,-0.777444,-0.905512,-0.687706,-0.207219,0.352419,0.777444,0.905512,0.687706,0.207219;0.108744,-0.207415,-0.444349,-0.511557,-0.383367,-0.108744,0.207415,0.444349,0.511557,0.383367,0.108744;-0.0312666,0.0168139,0.058472,0.0777958,0.0674043,0.0312666,-0.0168139,-0.058472,-0.0777958,-0.0674043,-0.0312666;-0.159335,0.234621,0.538959,0.637433,0.49243,0.159335,-0.234621,-0.538959,-0.637433,-0.49243,-0.159335;-0.226542,0.36281,0.813582,0.953593,0.729364,0.226542,-0.36281,-0.813582,-0.953593,-0.729364,-0.226542
-0.277026,0.302143,0.765903,0.937115,0.750381,0.277026,-0.302143,-0.765903,-0.937115,-0.750381,-0.277026;-0.263532,0.308263,0.762312,0.925183,0.734666,0.263532,-0.308263,-0.762312,-0.925183,-0.734666,-0.263532;-0.149377,0.196638,0.467543,0.559863,0.438335,0.149377,-0.196638,-0.467543,-0.559863,-0.438335,-0.149377;0.0218347,0.00990329,-0.00581082,-0.0193054,-0.025426,-0.0218347,-0.00990329,0.00581082,0.0193054,0.025426,0.0218347;0.184706,-0.180614,-0.476945,-0.5911,-0.479475,-0.184706,0.180614,0.476945,0.5911,0.479475,0.184706;0.277026,-0.302143,-0.765903,-0.937115,-0.750381,-0.277026,0.302143,0.765903,0.937115,0.750381,0.277026;0.263532,-0.308263,-0.762312,-0.925183,-0.734666,-0.263532,0.308263,0.762312,0.925183,0.734666,0.263532;0.149377,-0.196638,-0.467543,-0.559863,-0.438335,-0.149377,0.196638,0.467543,0.559863,0.438335,0.149377;-0.0218347,-0.00990329,0.00581082,0.0193054,0.025426,0.0218347,0.00990329,-0.00581082,-0.0193054,-0.025426,-0.0218347;-0.184706,0.180614,0.476945,0.5911,0.479475,0.184706,-0.180614,-0.476945,-0.5911,-0.479475,-0.184706;-0.277026,0.302143,0.765903,0.937115,0.750381,0.277026,-0.302143,-0.765903,-0.937115,-0.750381,-0.277026
-0.323595,0.241305,0.714035,0.914028,0.764893,0.323595,-0.241305,-0.714035,-0.914028,-0.764893,-0.323595;-0.320047,0.259891,0.74056,0.938361,0.777739,0.320047,-0.259891,-0.74056,-0.938361,-0.777739,-0.320047;-0.194253,0.179207,0.484217,0.604271,0.493515,0.194253,-0.179207,-0.484217,-0.604271,-0.493515,-0.194253;0.00573985,0.0300725,0.0429185,0.039371,0.0207852,-0.00573985,-0.0300725,-0.0429185,-0.039371,-0.0207852,0.00573985;0.20354,-0.130549,-0.414773,-0.540568,-0.459884,-0.20354,0.130549,0.414773,0.540568,0.459884,0.20354;0.323595,-0.241305,-0.714035,-0.914028,-0.764893,-0.323595,0.241305,0.714035,0.914028,0.764893,0.323595;0.320047,-0.259891,-0.74056,-0.938361,-0.777739,-0.320047,0.259891,0.74056,0.938361,0.777739,0.320047;0.194253,-0.179207,-0.484217,-0.604271,-0.493515,-0.194253,0.179207,0.484217,0.604271,0.493515,0.194253;-0.00573985,-0.0300725,-0.0429185,-0.039371,-0.0207852,0.00573985,0.0300725,0.0429185,0.039371,0.0207852,-0.00573985;-0.20354,0.130549,0.414773,0.540568,0.459884,0.20354,-0.130549,-0.414773,-0.540568,-0.459884,-0.20354;-0.323595,0.241305,0.714035,0.914028,0.764893,0.323595,-0.241305,-0.714035,-0.914028,-0.764893,-0.323595
-0.365607,0.181113,0.658655,0.884613,0.772679,0.365607,-0.181113,-0.658655,-0.884613,-0.772679,-0.365607;-0.375951,0.20798,0.71247,0.944821,0.816282,0.375951,-0.20798,-0.71247,-0.944821,-0.816282,-0.375951;-0.242694,0.155406,0.494146,0.64414,0.548094,0.242694,-0.155406,-0.494146,-0.64414,-0.548094,-0.242694;-0.0167365,0.0434716,0.0870751,0.0974189,0.0705519,0.0167365,-0.0434716,-0.0870751,-0.0974189,-0.0705519,-0.0167365;0.215614,-0.0850673,-0.353256,-0.486513,-0.433938,-0.215614,0.0850673,0.353256,0.486513,0.433938,0.215614;0.365607,-0.181113,-0.658655,-0.884613,-0.772679,-0.365607,0.181113,0.658655,0.884613,0.772679,0.365607;0.375951,-0.20798,-0.71247,-0.944821,-0.816282,-0.375951,0.20798,0.71247,0.944821,0.816282,0.375951;0.242694,-0.155406,-0.494146,-0.64414,-0.548094,-0.242694,0.155406,0.494146,0.64414,0.548094,0.242694;0.0167365,-0.0434716,-0.0870751,-0.0974189,-0.0705519,-0.0167365,0.0434716,0.0870751,0.0974189,0.0705519,0.0167365;-0.215614,0.0850673,0.353256,0.486513,0.433938,0.215614,-0.0850673,-0.353256,-0.486513,-0.433938,-0.215614;-0.365607,0.181113,0.658655,0.884613,0.772679,0.365607,-0.181113,-0.658655,-0.884613,-0.772679,-0.365607
-0.402487,0.122371,0.600488,0.849238,0.773609,0.402487,-0.122371,-0.600488,-0.849238,-0.773609,-0.402487;-0.430438,0.153256,0.678411,0.944436,0.849719,0.430438,-0.153256,-0.678411,-0.944436,-0.849719,-0.430438;-0.293976,0.125602,0.497204,0.678892,0.601265,0.293976,-0.125602,-0.497204,-0.678892,-0.601265,-0.293976;-0.0452253,0.0499726,0.126083,0.154033,0.123149,0.0452253,-0.0499726,-0.126083,-0.154033,-0.123149,-0.0452253;0.2208,-0.0447447,-0.293198,-0.42966,-0.402007,-0.2208,0.0447447,0.293198,0.42966,0.402007,0.2208;0.402487,-0.122371,-0.600488,-0.849238,-0.773609,-0.402487,0.122371,0.600488,0.849238,0.773609,0.402487;0.430438,-0.153256,-0.678411,-0.944436,-0.849719,-0.430438,0.153256,0.678411,0.944436,0.849719,0.430438;0.293976,-0.125602,-0.497204,-0.678892,-0.601265,-0.293976,0.125602,0.497204,0.678892,0.601265,0.293976;0.0452253,-0.0499726,-0.126083,-0.154033,-0.123149,-0.0452253,0.0499726,0.126083,0.154033,0.123149,0.0452253;-0.2208,0.0447447,0.293198,0.42966,0.402007,0.2208,-0.0447447,-0.293198,-0.42966,-0.402007,-0.2208;-0.402487,0.122371,0.600488,0.849238,0.773609,0.402487,-0.122371,-0.600488,-0.849238,-0.773609,-0.402487
-0.43373,0.0658619,0.540296,0.808356,0.767651,0.43373,-0.0658619,-0.540296,-0.808356,-0.767651,-0.43373;-0.482724,0.0964811,0.638834,0.937173,0.877545,0.482724,-0.0964811,-0.638834,-0.937173,-0.877545,-0.482724;-0.347334,0.0902477,0.493358,0.708022,0.652246,0.347334,-0.0902477,-0.493358,-0.708022,-0.652246,-0.347334;-0.0792746,0.0495428,0.159437,0.208431,0.177812,0.0792746,-0.0495428,-0.159437,-0.208431,-0.177812,-0.0792746;0.219065,-0.0100858,-0.235384,-0.370774,-0.364541,-0.219065,0.0100858,0.235384,0.370774,0.364541,0.219065;0.43373,-0.0658619,-0.540296,-0.808356,-0.767651,-0.43373,0.0658619,0.540296,0.808356,0.767651,0.43373;0.482724,-0.0964811,-0.638834,-0.937173,-0.877545,-0.482724,0.0964811,0.638834,0.937173,0.877545,0.482724;0.347334,-0.0902477,-0.493358,-0.708022,-0.652246,-0.347334,0.0902477,0.493358,0.708022,0.652246,0.347334;0.0792746,-0.0495428,-0.159437,-0.208431,-0.177812,-0.0792746,0.0495428,0.159437,0.208431,0.177812,0.0792746;-0.219065,0.0100858,0.235384,0.370774,0.364541,0.219065,-0.0100858,-0.235384,-0.370774,-0.364541,-0.219065;-0.43373,0.0658619,0.540296,0.808356,0.767651,0.43373,-0.0658619,-0.540296,-0.808356,-0.767651,-0.43373
